id,code,name,country_id:id,Desc_Corta_EF,Desc_Larga_EF,Nivel_EF,short_code
2765,1,ENTIDAD FEDERAL ESTADO NUEVA ESPARTA,base.ve,ENT. FED.,ENTIDAD FEDERAL,1,NES
2069,2,ENTIDAD FEDERAL ESTADO APURE,base.ve,ENT. FED.,ENTIDAD FEDERAL,1,APU
2799,3,ENTIDAD FEDERAL ESTADO PORTUGUESA,base.ve,ENT. FED.,ENTIDAD FEDERAL,1,POR
2339,4,ENTIDAD FEDERAL ESTADO DELTA AMACURO,base.ve,ENT. FED.,ENTIDAD FEDERAL,1,DAM
1989,5,ENTIDAD FEDERAL ESTADO ANZOATEGUI,base.ve,ENT. FED.,ENTIDAD FEDERAL,1,ANZ
2529,6,ENTIDAD FEDERAL ESTADO LARA,base.ve,ENT. FED.,ENTIDAD FEDERAL,1,LAR
663,7,ENTIDAD FEDERAL ESTADO MIRANDA,base.ve,ENT. FED.,ENTIDAD FEDERAL,1,MIR
1958,8,ENTIDAD FEDERAL ESTADO AMAZONAS,base.ve,ENT. FED.,ENTIDAD FEDERAL,1,AMA
2365,9,ENTIDAD FEDERAL ESTADO FALCON,base.ve,ENT. FED.,ENTIDAD FEDERAL,1,FAL
2474,10,ENTIDAD FEDERAL ESTADO GUARICO,base.ve,ENT. FED.,ENTIDAD FEDERAL,1,GUA
1702,11,ENTIDAD FEDERAL ESTADO LA GUAIRA,base.ve,ENT. FED.,ENTIDAD FEDERAL,1,LGA
2655,12,ENTIDAD FEDERAL ESTADO MERIDA,base.ve,ENT. FED.,ENTIDAD FEDERAL,1,MER
2855,13,ENTIDAD FEDERAL ESTADO SUCRE,base.ve,ENT. FED.,ENTIDAD FEDERAL,1,SUC
2202,14,ENTIDAD FEDERAL ESTADO BOLIVAR,base.ve,ENT. FED.,ENTIDAD FEDERAL,1,BOL
1361,15,ENTIDAD FEDERAL ESTADO YARACUY,base.ve,ENT. FED.,ENTIDAD FEDERAL,1,YAR
1,16,ENTIDAD FEDERAL DISTRITO LIBERTADOR,base.ve,ENT. FED.,ENTIDAD FEDERAL,1,LIB
598,17,ENTIDAD FEDERAL ESTADO ARAGUA,base.ve,ENT. FED.,ENTIDAD FEDERAL,1,ARA
2314,18,ENTIDAD FEDERAL ESTADO COJEDES,base.ve,ENT. FED.,ENTIDAD FEDERAL,1,COJ
2261,19,ENTIDAD FEDERAL ESTADO CARABOBO,base.ve,ENT. FED.,ENTIDAD FEDERAL,1,CAR
3042,20,ENTIDAD FEDERAL ESTADO TACHIRA,base.ve,ENT. FED.,ENTIDAD FEDERAL,1,TAC
2928,21,ENTIDAD FEDERAL ESTADO TRUJILLO,base.ve,ENT. FED.,ENTIDAD FEDERAL,1,TRU
3147,22,ENTIDAD FEDERAL ESTADO ZULIA,base.ve,ENT. FED.,ENTIDAD FEDERAL,1,ZUL
2135,23,ENTIDAD FEDERAL ESTADO BARINAS,base.ve,ENT. FED.,ENTIDAD FEDERAL,1,BAR
2597,24,ENTIDAD FEDERAL ESTADO MONAGAS,base.ve,ENT. FED.,ENTIDAD FEDERAL,1,MON